usia;kelompok
37        ;Dewasa              
5         ;Balita              
17        ;Pemuda              
57        ;Tua                 
47        ;Dewasa              
80        ;Tua                 
71        ;Tua                 
61        ;Tua                 
24        ;Dewasa              
4         ;Balita              
77        ;Tua                 
34        ;Dewasa              
19        ;Pemuda              
62        ;Tua                 
15        ;Remaja              
39        ;Dewasa              
2         ;Balita              
48        ;Dewasa              
57        ;Tua                 
37        ;Dewasa              
80        ;Tua                 
33        ;Dewasa              
21        ;Pemuda              
18        ;Pemuda              
53        ;Dewasa              
18        ;Pemuda              
34        ;Dewasa              
34        ;Dewasa              
5         ;Balita              
9         ;Kanak-kanak         
70        ;Tua                 
29        ;Dewasa              
67        ;Tua                 
48        ;Dewasa              
39        ;Dewasa              
31        ;Dewasa              
26        ;Dewasa              
28        ;Dewasa              
28        ;Dewasa              
34        ;Dewasa              
25        ;Dewasa              
62        ;Tua                 
57        ;Tua                 
46        ;Dewasa              
31        ;Dewasa              
26        ;Dewasa              
72        ;Tua                 
15        ;Remaja              
21        ;Pemuda              
26        ;Dewasa              
4         ;Balita              
37        ;Dewasa              
67        ;Tua                 
43        ;Dewasa              
31        ;Dewasa              
78        ;Tua                 
30        ;Dewasa              
29        ;Dewasa              
67        ;Tua                 
24        ;Dewasa              
9         ;Kanak-kanak         
45        ;Dewasa              
62        ;Tua                 
21        ;Pemuda              
27        ;Dewasa              
48        ;Dewasa              
46        ;Dewasa              
26        ;Dewasa              
47        ;Dewasa              
20        ;Pemuda              
8         ;Kanak-kanak         
71        ;Tua                 
51        ;Dewasa              
73        ;Tua                 
51        ;Dewasa              
20        ;Pemuda              
74        ;Tua                 
3         ;Balita              
69        ;Tua                 
52        ;Dewasa              
34        ;Dewasa              
80        ;Tua                 
45        ;Dewasa              
45        ;Dewasa              
61        ;Tua                 
7         ;Kanak-kanak         
12        ;Remaja              
80        ;Tua                 
11        ;Kanak-kanak         
26        ;Dewasa              
59        ;Tua                 
76        ;Tua                 
13        ;Remaja              
31        ;Dewasa              
67        ;Tua                 
9         ;Kanak-kanak         
71        ;Tua                 
21        ;Pemuda              
38        ;Dewasa              
68        ;Tua                 
